title,title2,title3,导演和主演,评分,protagonist,链接
虎口脱险,/La grande vadrouille,/横冲直撞出重围(港)  /  大進擊(台),导演: 杰拉尔·乌里 Gérard Oury主演: 路易·德·菲耐斯 Louis de Funès...,8.9,,https://movie.douban.com/subject/1296909/
真爱至上,/Love Actually,/真的恋爱了(港)  /  爱是您，爱是我(台),导演: 理查德·柯蒂斯 Richard Curtis主演: 休·格兰特 Hugh Grant / 连姆...,8.5,,https://movie.douban.com/subject/1292401/
崖上的波妞,/崖の上のポニョ,/悬崖上的金鱼姬  /  悬崖上的金鱼公主,导演: 宫崎骏 Hayao Miyazaki主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,8.6,,https://movie.douban.com/subject/1959877/
恋恋笔记本,/The Notebook,/忘了·忘不了(港)  /  手札情缘(台),导演: 尼克·卡索维茨 Nick Cassavetes主演: 瑞恩·高斯林 Ryan Gosling /...,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
千钧一发,/Gattaca,/变种异煞(港)  /  自然人,导演: 安德鲁·尼科尔 Andrew Niccol主演: 伊桑·霍克 Ethan Hawke / 乌玛...,8.8,,https://movie.douban.com/subject/1300117/
罗生门,/羅生門,/Rashomon,导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune / 京町子 ...,8.8,,https://movie.douban.com/subject/1291879/
大红灯笼高高挂,/Raise The Red Lantern  /  Épouses et concubines,,导演: 张艺谋 Yimou Zhang主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,8.8,,https://movie.douban.com/subject/1293323/
彗星来的那一夜,/Coherence,/相干性  /  相干效应,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit主演: 艾米丽·芭尔多尼 Em...,8.6,小成本大魅力。,https://movie.douban.com/subject/25807345/
哈利·波特与凤凰社,/Harry Potter and the Order of the Phoenix,/哈利波特5：凤凰会的密令(港 / 台) ,导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,8.5,,https://movie.douban.com/subject/1457217/
海边的曼彻斯特,/Manchester by the Sea,/情系海边之城(港),导演: 肯尼斯·罗纳根 Kenneth Lonergan主演: 卡西·阿弗莱克 Casey Affle...,8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
机器人之梦,/Robot Dreams,/再见机器人(台)  /  汪汪梦里人(港),导演: 巴勃罗·贝格尔 Pablo Berger主演: 伊万·拉班达 Ivan Labanda / 阿...,9.1,,https://movie.douban.com/subject/35426925/
火星救援,/The Martian,/火星任务(港)  /  绝地救援(台),导演: 雷德利·斯科特 Ridley Scott主演: 马特·达蒙 Matt Damon / 杰西卡...,8.5,,https://movie.douban.com/subject/25864085/
黑客帝国2：重装上阵,/The Matrix Reloaded,/22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski...,8.7,,https://movie.douban.com/subject/1304141/
萤火虫之墓,/火垂るの墓,/再见萤火虫(港)  /  萤火挽歌,导演: 高畑勋 Isao Takahata主演: 辰己努 / 白石绫乃 / 志乃原良子,8.7,,https://movie.douban.com/subject/1293318/
奇迹男孩,/Wonder,/奇迹,导演: 斯蒂芬·卓博斯基 Stephen Chbosky主演: 雅各布·特伦布莱 Jacob Tr...,8.6,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
战争之王,/Lord of War,/军火之王(台 / 港) ,导演: 安德鲁·尼科尔 Andrew Niccol主演: 尼古拉斯·凯奇 Nicolas Cage /...,8.7,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
千年女优,/千年女優,/Millennium Actress,导演: 今敏 Satoshi Kon主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,8.8,,https://movie.douban.com/subject/1307394/
步履不停,/歩いても 歩いても,/横山家之味(港 / 台) ,导演: 是枝裕和 Hirokazu Koreeda主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
血钻,/Blood Diamond,/血钻石(台)  /  血腥钻石,导演: 爱德华·兹威克 Edward Zwick主演: 莱昂纳多·迪卡普里奥 Leonardo ...,8.7,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
谍影重重2,/The Bourne Supremacy,/叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon / ...,8.7,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
蜘蛛侠：平行宇宙,/Spider-Man: Into the Spider-Verse,/蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey主...,8.6,,https://movie.douban.com/subject/26374197/
魂断蓝桥,/Waterloo Bridge,/滑铁卢桥  /  断桥残梦,导演: 茂文·勒鲁瓦 Mervyn LeRoy主演: 费雯·丽 Vivien Leigh / 罗伯特·...,8.8,,https://movie.douban.com/subject/1293964/
房间,/Room,/不存在的房间(台)  /  抖室(港),导演: 伦尼·阿伯拉罕森 Lenny Abrahamson主演: 布丽·拉尔森 Brie Larson...,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
冰雪奇缘,/Frozen,/魔雪奇缘(港)  /  冰雪大冒险,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee主演: 克里斯汀...,8.5,,https://movie.douban.com/subject/4202982/
隐藏人物,/Hidden Figures,/NASA无名英雌(港)  /  关键少数(台),导演: 特奥多尔·梅尔菲 Theodore Melfi主演: 塔拉吉·P·汉森 Taraji P. ...,8.9,,https://movie.douban.com/subject/26615208/
谍影重重,/The Bourne Identity,/叛谍追击(港)  /  神鬼认证(台),导演: 道格·里曼 Doug Liman主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,8.6,,https://movie.douban.com/subject/1304102/
弱点,/The Blind Side,/守护有心人(港)  /  攻其不备(台),导演: 约翰·李·汉考克 John Lee Hancock主演: 桑德拉·布洛克 Sandra Bu...,8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,https://movie.douban.com/subject/3552028/
